,title,video_id,Published At,Keyword,Likes,Comments,Views
1808,25 Game Dev Tips for Beginners - Tips &amp; Tricks,sVVn1C3F87A,30-03-2022,game development,7774.0,201.0,165986.0
1809,I Paid Game Developers on Fiverr to Make the Same Game,I9G6xJTUCHs,25-07-2021,game development,5009.0,325.0,67619.0
1810,I Tried Learning Game Development In One Week,cFyBbDj9gvY,21-12-2021,game development,17967.0,1042.0,470123.0
1811,5 Steps To Start Making Games (in 2021),0FTlopQl0h0,23-08-2021,game development,46566.0,3491.0,1732100.0
1812,2 Years of Learning Game Development in Unity | My devlog progress,8fcy0_FQ_OA,17-03-2022,game development,9330.0,567.0,320959.0
1813,5 Years of Making Games in Unity!,EezyHvMbILo,28-04-2020,game development,57691.0,2798.0,1510897.0
1814,A Day in the Life of a Game Developer with a Full Time Job,V5o6CQNPgsQ,24-10-2020,game development,1796.0,72.0,47696.0
1815,Attempting to Learn 3D Game Development in One Week,1mwNrMD0Lm0,23-05-2020,game development,3792.0,337.0,58850.0
1816,"Solo Development: Myths, Reality and Survival Strategies",YaUdstkv1RE,11-05-2022,game development,19112.0,433.0,527380.0
1817,A Day in the Life of an Indie Game Developer,e9N4PIeYAnY,22-07-2022,game development,17272.0,1683.0,492976.0
1818,I Tried Making a Multiplayer FPS Game in 1 Week...,k_qILWYgaSM,10-02-2022,game development,889.0,69.0,18154.0
1819,Why Game Companies Stopped Making Games - How Money Works,TnsdRa_KvbI,30-07-2022,game development,7665.0,534.0,133708.0
1820,6 YEARS of Game Development,tV3zWkI-JGs,02-07-2022,game development,1244.0,80.0,23909.0
1821,Why Dani Is The Most Underrated Game Developer Ever,E6qlaQkdAos,29-06-2022,game development,3831.0,187.0,76643.0
1822,I Tried EVERY Game Developer&#39;s WORST NIGHTMARE (Dream Game Devlog),DoLbS7c9FKs,10-06-2022,game development,6545.0,571.0,128164.0
1823,First Steps to becoming a Game Developer - How to become a Game Developer,fsEwtkEBXmo,01-12-2020,game development,630.0,221.0,5663.0
1824,I Made My Own Game Engine,hysfq_xJAw0,28-04-2022,game development,34468.0,1223.0,1085330.0
1825,Game development is hard | Indie Game Devlog,0jTI8UfcY1M,13-08-2022,game development,25476.0,1892.0,512978.0
1826,2 Years of Unity Game Development in 10 Minutes! Len&#39;s Island,PshNJwGdWOM,24-04-2020,game development,1409.0,91.0,30465.0
1827,The Best FREE Software for Game Development! (In my Opinion),SBmeEQOh20A,19-05-2021,game development,5556.0,318.0,170837.0
1828,3 Years of Unity Game Development!,RTpj9_S4zVU,27-07-2022,game development,27768.0,1635.0,578167.0
1829,How much Money does my Mobile Game Make? (after 4 weeks),ueNhxQ2lYOM,15-06-2021,game development,41946.0,2106.0,3346948.0
1830,I Turned Manhunt Into a Multiplayer Game!,HgrFyitP4bo,10-07-2022,game development,42940.0,1735.0,1407324.0
1831,Machine Learning Basics | What Is Machine Learning? | Introduction To Machine Learning | Simplilearn,ukzFI9rgwfU,19-09-2018,machine learning,43189.0,1155.0,2317183.0
1833,Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka,GwIo3gDZCVQ,22-09-2019,machine learning,36835.0,1265.0,1456270.0
1834,What is Machine Learning?,HcqpanDadyQ,24-08-2017,machine learning,38776.0,566.0,2278698.0
